ID;Numero;DataRegistro;Tecnico;Area;Equipamento;Descricao;Risco;Responsavel;Prazo;Status;Observacao;Inspecao;Foto
6e94ca97;NC-0104;22/07/2026;Lucas Conrado;Britagem 1A;;aaaaaaaaaaaaaaaaaa (via Forms);Médio;aaaaaaaaaaaaaaaaaaa;30/07/2026;Encerrada em 30/07/2026;Tipo: Condição Insegura | Gravidade potencial: Fatal | Ação imediata: aaaaaaaaaa | Plano de ação: aaaaaaaaaaaaaaa | Empresa: Outra contratada | Concluída via Forms · verificado por Lucas;INS-0502;
46c7064f;NC-0103;20/07/2026;Tiago Santos;Filtragem;Filtro FP-1;Teste de foto na NC;Alto;;;Aberta;;INS-0501;https://drive.google.com/file/d/EXEMPLO123/view
6e1fd0d7;NC-0101;16/07/2026;Tiago Santos;Concentração (Planta 3 + GX600);;Operador realizando limpeza da peneira PN-02 sem bloqueio do equipamento (via Forms);Alto;Operação;20/07/2026;Em andamento;Tipo: Ato Inseguro | Gravidade potencial: Grave | Ação imediata: Atividade paralisada e DDS realizado na hora | Plano de ação: Reciclagem de bloqueio e etiquetagem para a equipe de operação | Empresa: Cedro | Status informado no Forms;INS-0500;
a281341c;NC-0102;16/07/2026;Tiago Santos;Concentração (Planta 3 + GX600);;Luminária de emergência da sala de controle queimada (via Forms);Médio;Elétrica;24/07/2026;Aberta;;INS-0500;
21158057;NC-0099;15/07/2026;Anderson Magalhães;Britagem 1;;Talude com trinca próximo ao acesso da correia TC-01, risco de desprendimento de material sobre a passagem de pedestres (via Forms);Crítica;Civil;28/07/2026;Encerrada em 16/07/2026;Tipo: Condição Insegura | Gravidade potencial: Grave | Ação imediata: Área isolada com fita zebrada | Plano de ação: Contenção e limpeza do talude pela equipe civil | Empresa: AJPM | Equipe: Anderson Magalhães, Wagner Rocha | Talude contido e limpo pela equipe civil da AJPM, área liberada. (tratativa via Forms);INS-0497;
2af10a59;NC-0100;15/07/2026;Josiane Lima;Restaurante;;Piso molhado sem sinalização na entrada do restaurante (via Forms);Médio;Facilities;16/07/2026;Encerrada em 15/07/2026;Tipo: Condição Insegura | Gravidade potencial: Leve | Ação imediata: Colocada placa de piso molhado | Plano de ação: Instalar tapete antiderrapante na entrada | Empresa: Cedro | Concluída via Forms · verificado por Alberto Inácio;INS-0498;
763f0a57;NC-0098;13/07/2026;Fabiana Mello;Concentração (Planta 3 + GX600);Peneira PN-01;Sistema de lubrificação automática inoperante, mancal aquecendo;Alto;Manutenção mecânica;20/07/2026;Aberta;;INS-0494;
4ee5d601;NC-0097;09/07/2026;Phelippe Cerqueira;Filtragem;Linha de ar comprimido;Vazamento na conexão da linha de ar comprimido;Médio;Manutenção;22/07/2026;Em andamento;Conexão nova comprada, troca programada.;INS-0485;
0889497b;NC-0096;08/07/2026;Anderson Magalhães;Britagem 1;Britador primário;Vibração anormal no conjunto do britador primário;Alto;Manutenção mecânica;25/07/2026;Em andamento;Análise de vibração agendada com a preditiva.;INS-0481;
2540602d;NC-0095;04/07/2026;Josiane Lima;Restaurante;Refeitório;Lâmpada queimada no salão do refeitório;Baixo;Facilities;09/07/2026;Encerrada em 08/07/2026;Lâmpada substituída.;INS-0475;
1701708c;NC-0094;03/07/2026;Lucas Conrado;Britagem 1A;Lava-olhos;Chuveiro lava-olhos com vazão baixa;Alto;Facilities;07/07/2026;Encerrada em 06/07/2026;Filtro trocado e vazão testada.;INS-0473;
